Episode_Length_minutes,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment
89.32,95.15,Saturday,Morning,84.3,2.0,Negative
34.77,42.29,Sunday,Afternoon,76.35,2.0,Negative
84.26,38.97,Friday,Night,21.32,1.0,Positive
,86.59,Wednesday,Evening,2.61,0.0,Neutral
109.67,85.64,Friday,Afternoon,1.89,0.0,Neutral
,29.18,Wednesday,Night,,0.0,Positive
27.92,36.1,Saturday,Morning,,1.0,Neutral
10.41,97.76,Friday,Evening,,0.0,Negative
102.77,60.04,Sunday,Morning,60.68,3.0,Positive
,49.93,Thursday,Morning,75.5,1.0,Negative
31.7,72.36,Saturday,Morning,15.34,2.0,Negative
93.21,69.13,Thursday,Afternoon,38.54,0.0,Neutral
101.17,98.17,Wednesday,Night,,2.0,Neutral
6.06,76.53,Monday,Afternoon,33.31,3.0,Negative
97.92,55.38,Monday,Morning,38.91,1.0,Neutral
88.28,21.72,Wednesday,Evening,53.23,1.0,Positive
50.42,37.22,Thursday,Morning,16.99,2.0,Negative
52.75,33.41,Monday,Night,82.12,2.0,Neutral
6.36,86.04,Sunday,Evening,43.97,1.0,Positive
97.27,48.12,Monday,Morning,16.94,0.0,Negative
,76.17,Tuesday,Morning,,3.0,Neutral
26.9,83.67,Monday,Morning,,0.0,Neutral
39.46,48.09,Thursday,Evening,50.67,3.0,Neutral
65.47,26.71,Wednesday,Evening,,3.0,Positive
,38.39,Wednesday,Morning,,2.0,Negative
44.76,43.69,Monday,Evening,23.14,2.0,Positive
24.94,51.95,Saturday,Evening,,3.0,Negative
46.36,42.04,Sunday,Night,23.29,2.0,Neutral
,45.4,Sunday,Evening,89.39,0.0,Negative
11.83,31.89,Thursday,Evening,26.81,3.0,Positive
89.35,71.65,Monday,Night,34.94,3.0,Neutral
118.18,26.76,Tuesday,Night,28.02,2.0,Neutral
,79.68,Wednesday,Morning,29.64,3.0,Positive
60.12,80.68,Wednesday,Morning,1.44,1.0,Neutral
106.58,34.68,Thursday,Evening,61.33,0.0,Neutral
,69.78,Monday,Afternoon,45.88,1.0,Negative
90.21,76.52,Sunday,Morning,98.47,2.0,Neutral
14.07,35.25,Friday,Morning,52.98,1.0,Neutral
89.36,44.47,Friday,Afternoon,,0.0,Positive
77.46,89.35,Wednesday,Evening,14.96,1.0,Positive
111.14,79.71,Wednesday,Afternoon,11.41,1.0,Positive
78.35,52.08,Wednesday,Night,29.7,1.0,Neutral
91.64,92.25,Tuesday,Afternoon,,2.0,Negative
47.96,89.67,Thursday,Afternoon,67.48,0.0,Neutral
72.76,86.37,Sunday,Morning,53.21,0.0,Negative
,38.79,Tuesday,Evening,,1.0,Positive
33.16,45.92,Friday,Night,33.05,2.0,Positive
7.56,42.64,Tuesday,Afternoon,86.26,1.0,Negative
82.52,54.83,Monday,Evening,82.52,2.0,Positive
56.27,69.55,Thursday,Afternoon,94.39,2.0,Positive
34.15,62.92,Wednesday,Morning,,3.0,Positive
45.23,65.7,Saturday,Afternoon,93.79,0.0,Negative
44.52,38.55,Sunday,Evening,23.27,1.0,Neutral
106.39,92.56,Tuesday,Afternoon,,2.0,Positive
66.99,75.63,Sunday,Afternoon,19.65,0.0,Positive
18.77,91.7,Friday,Evening,70.75,3.0,Positive
,84.73,Thursday,Morning,54.59,1.0,Negative
83.07,65.9,Monday,Night,52.31,2.0,Positive
21.46,44.68,Sunday,Evening,,3.0,Negative
116.65,21.97,Friday,Morning,8.03,2.0,Positive
84.16,48.02,Wednesday,Afternoon,26.9,1.0,Neutral
107.28,78.97,Tuesday,Evening,,3.0,Neutral
49.33,75.24,Thursday,Afternoon,41.34,1.0,Positive
104.94,40.32,Wednesday,Evening,8.74,1.0,Positive
108.51,97.07,Saturday,Evening,87.61,1.0,Negative
28.73,93.83,Friday,Morning,61.1,1.0,Positive
,81.55,Wednesday,Night,40.57,0.0,Neutral
24.24,95.67,Thursday,Evening,,2.0,Positive
111.68,44.26,Saturday,Morning,42.47,2.0,Positive
27.46,55.54,Monday,Afternoon,39.54,3.0,Negative
110.71,23.21,Monday,Afternoon,58.49,1.0,Positive
116.74,58.31,Saturday,Morning,63.58,2.0,Neutral
,60.69,Thursday,Night,50.36,0.0,Positive
,34.68,Tuesday,Afternoon,,2.0,Positive
45.09,92.15,Tuesday,Morning,98.14,0.0,Negative
99.71,76.16,Wednesday,Morning,17.02,2.0,Negative
34.0,62.13,Friday,Evening,23.65,0.0,Neutral
62.25,23.54,Thursday,Night,62.91,0.0,Positive
17.64,96.8,Tuesday,Afternoon,77.14,0.0,Neutral
70.03,37.6,Thursday,Evening,22.81,3.0,Positive
73.73,59.01,Monday,Night,65.01,1.0,Neutral
,89.07,Thursday,Morning,,2.0,Negative
,56.02,Saturday,Afternoon,4.2,3.0,Negative
62.57,52.32,Thursday,Afternoon,67.32,1.0,Negative
50.19,76.29,Tuesday,Morning,11.47,2.0,Positive
56.29,75.57,Tuesday,Afternoon,70.84,2.0,Neutral
65.59,79.62,Monday,Night,64.2,1.0,Neutral
53.02,96.95,Sunday,Morning,73.2,0.0,Positive
41.5,69.31,Monday,Night,65.01,0.0,Neutral
92.3,58.27,Friday,Evening,91.25,0.0,Positive
7.72,22.43,Wednesday,Morning,,1.0,Negative
42.76,81.45,Monday,Night,,3.0,Positive
107.62,62.51,Monday,Morning,38.42,2.0,Neutral
71.64,20.97,Tuesday,Evening,70.97,2.0,Neutral
67.97,29.81,Tuesday,Morning,32.91,1.0,Neutral
53.27,64.92,Wednesday,Evening,18.84,3.0,Positive
94.76,84.01,Tuesday,Morning,64.65,3.0,Neutral
90.38,33.43,Sunday,Morning,58.56,0.0,Positive
73.08,77.08,Tuesday,Evening,75.0,0.0,Positive
84.02,55.72,Tuesday,Night,91.71,1.0,Negative
66.44,60.18,Monday,Evening,,1.0,Positive
92.94,69.05,Thursday,Morning,80.1,1.0,Positive
5.83,70.99,Sunday,Night,33.42,2.0,Neutral
94.75,91.88,Wednesday,Night,56.72,3.0,Positive
54.67,47.93,Monday,Evening,,0.0,Positive
,65.38,Friday,Evening,86.45,0.0,Negative
,42.05,Wednesday,Morning,61.18,0.0,Neutral
15.97,43.82,Monday,Night,63.48,1.0,Positive
118.43,31.91,Tuesday,Night,12.1,0.0,Positive
,83.98,Sunday,Evening,37.92,3.0,Neutral
5.08,54.64,Sunday,Morning,26.76,1.0,Positive
,92.56,Sunday,Morning,33.12,3.0,Negative
6.51,26.32,Wednesday,Morning,,1.0,Negative
30.02,93.4,Wednesday,Evening,51.33,1.0,Positive
105.41,84.31,Wednesday,Night,63.43,3.0,Negative
115.68,69.57,Monday,Afternoon,12.03,0.0,Positive
100.86,48.11,Friday,Night,44.23,3.0,Positive
116.42,44.56,Sunday,Night,68.63,2.0,Neutral
,74.59,Sunday,Afternoon,,1.0,Negative
31.31,86.5,Saturday,Morning,,3.0,Negative
9.48,58.4,Monday,Night,4.84,2.0,Positive
45.59,58.64,Tuesday,Afternoon,15.36,0.0,Negative
,37.45,Saturday,Afternoon,29.74,1.0,Negative
,85.03,Friday,Night,87.3,0.0,Negative
64.95,29.42,Monday,Morning,95.63,1.0,Neutral
81.44,96.13,Monday,Morning,13.03,0.0,Neutral
30.34,64.79,Tuesday,Night,64.46,2.0,Negative
99.96,81.58,Tuesday,Night,62.91,2.0,Negative
39.78,88.15,Saturday,Night,16.03,3.0,Positive
116.67,50.09,Sunday,Night,30.14,2.0,Negative
75.98,61.14,Thursday,Evening,,2.0,Negative
115.37,34.44,Sunday,Night,44.94,3.0,Negative
38.38,20.42,Sunday,Afternoon,,1.0,Negative
23.38,41.14,Sunday,Afternoon,,2.0,Neutral
26.6,65.89,Sunday,Morning,15.73,1.0,Negative
85.51,62.32,Saturday,Night,76.64,3.0,Positive
76.97,44.59,Thursday,Evening,43.39,1.0,Positive
,32.64,Wednesday,Morning,89.84,1.0,Negative
49.68,89.81,Sunday,Evening,75.55,0.0,Neutral
103.87,91.83,Saturday,Evening,10.86,0.0,Positive
78.94,38.51,Tuesday,Evening,84.57,0.0,Neutral
25.69,29.82,Sunday,Night,84.82,0.0,Neutral
59.21,38.55,Sunday,Night,15.58,1.0,Negative
37.67,90.33,Wednesday,Afternoon,79.54,3.0,Positive
42.73,66.75,Monday,Evening,67.51,0.0,Positive
87.26,43.13,Saturday,Morning,61.26,0.0,Positive
28.25,75.15,Wednesday,Night,23.79,3.0,Positive
61.05,22.67,Thursday,Afternoon,,1.0,Neutral
69.8,50.79,Sunday,Evening,1.58,0.0,Neutral
81.78,61.45,Wednesday,Night,69.77,3.0,Negative
84.08,97.93,Tuesday,Evening,,1.0,Neutral
56.47,70.21,Monday,Afternoon,54.29,2.0,Positive
116.56,69.65,Thursday,Afternoon,66.16,0.0,Negative
119.3,79.6,Saturday,Morning,3.6,0.0,Positive
70.45,34.56,Friday,Night,,3.0,Positive
,74.09,Monday,Afternoon,0.35,0.0,Neutral
35.58,44.47,Friday,Night,12.73,1.0,Negative
113.74,23.88,Saturday,Evening,51.42,0.0,Neutral
,87.39,Monday,Morning,97.45,0.0,Negative
62.16,70.87,Tuesday,Evening,18.05,1.0,Negative
50.68,29.72,Wednesday,Afternoon,69.39,0.0,Negative
19.89,63.27,Sunday,Night,,1.0,Positive
50.67,47.38,Wednesday,Afternoon,71.18,3.0,Positive
95.74,77.01,Thursday,Night,68.44,3.0,Negative
66.92,55.06,Tuesday,Evening,19.91,0.0,Neutral
21.85,90.48,Sunday,Night,23.72,1.0,Negative
87.74,86.6,Saturday,Night,,3.0,Neutral
116.06,43.59,Monday,Afternoon,41.49,2.0,Negative
64.59,63.55,Friday,Night,82.44,3.0,Positive
,36.27,Wednesday,Afternoon,,2.0,Positive
,74.72,Wednesday,Evening,84.88,1.0,Negative
22.35,91.11,Tuesday,Morning,40.38,0.0,Negative
14.89,71.99,Friday,Evening,66.19,0.0,Neutral
74.04,26.93,Tuesday,Evening,,3.0,Positive
100.25,40.13,Monday,Evening,7.99,0.0,Neutral
94.96,64.59,Thursday,Night,52.3,0.0,Positive
119.44,89.54,Monday,Night,60.79,1.0,Neutral
,51.95,Friday,Night,9.8,1.0,Neutral
76.71,41.37,Tuesday,Afternoon,64.64,3.0,Positive
,39.27,Monday,Night,82.25,1.0,Neutral
,66.09,Monday,Evening,,2.0,Neutral
30.94,98.77,Friday,Evening,91.71,1.0,Negative
55.06,20.49,Saturday,Afternoon,61.16,0.0,Neutral
34.31,57.78,Wednesday,Afternoon,45.1,2.0,Positive
101.65,28.83,Wednesday,Evening,,3.0,Neutral
42.99,83.29,Saturday,Night,24.81,0.0,Neutral
108.19,38.72,Thursday,Morning,62.97,0.0,Positive
,54.44,Tuesday,Afternoon,45.96,3.0,Positive
67.15,91.08,Thursday,Morning,,2.0,Neutral
,68.95,Monday,Morning,28.25,0.0,Negative
62.55,31.23,Thursday,Morning,10.36,0.0,Positive
,55.52,Monday,Night,99.01,1.0,Positive
10.35,80.11,Friday,Evening,71.45,0.0,Positive
41.66,42.33,Monday,Night,84.33,3.0,Negative
88.11,64.39,Friday,Night,21.41,3.0,Neutral
35.7,95.5,Thursday,Morning,,1.0,Positive
99.34,47.63,Friday,Night,93.27,2.0,Negative
,24.02,Sunday,Night,53.56,1.0,Positive
24.86,57.47,Thursday,Afternoon,55.38,3.0,Negative
31.81,93.2,Friday,Night,67.69,1.0,Negative
23.39,67.73,Wednesday,Evening,48.83,1.0,Positive
32.47,74.0,Monday,Evening,84.65,1.0,Neutral
113.98,81.07,Tuesday,Afternoon,28.38,1.0,Neutral
,50.2,Thursday,Evening,1.48,2.0,Positive
23.42,91.66,Monday,Morning,,3.0,Positive
108.74,63.75,Monday,Night,45.67,1.0,Positive
103.39,36.79,Saturday,Night,83.58,0.0,Positive
107.86,63.01,Tuesday,Afternoon,80.11,3.0,Negative
,97.24,Thursday,Evening,6.97,1.0,Positive
71.11,81.98,Saturday,Morning,73.98,0.0,Negative
,23.94,Tuesday,Evening,11.94,1.0,Negative
,86.75,Monday,Evening,63.81,0.0,Neutral
7.41,88.79,Monday,Evening,43.95,1.0,Negative
94.65,73.1,Saturday,Afternoon,84.14,1.0,Positive
31.53,73.9,Sunday,Night,74.83,2.0,Neutral
113.57,36.05,Tuesday,Morning,92.16,3.0,Negative
25.09,25.05,Sunday,Afternoon,52.23,2.0,Neutral
42.61,79.81,Thursday,Morning,41.51,3.0,Negative
111.22,63.61,Thursday,Night,87.03,1.0,Neutral
65.69,53.36,Thursday,Morning,89.56,0.0,Neutral
33.45,60.23,Sunday,Evening,65.93,0.0,Neutral
39.48,73.93,Sunday,Afternoon,,2.0,Negative
,56.52,Friday,Morning,,1.0,Neutral
83.36,62.6,Saturday,Night,43.32,0.0,Positive
42.18,86.98,Thursday,Evening,81.08,1.0,Positive
71.33,96.18,Saturday,Morning,53.92,1.0,Neutral
42.25,69.45,Sunday,Evening,6.25,1.0,Positive
82.64,67.71,Tuesday,Evening,87.73,1.0,Neutral
,29.43,Monday,Evening,31.55,2.0,Positive
87.85,83.31,Sunday,Evening,17.23,0.0,Neutral
115.81,36.29,Saturday,Night,68.86,3.0,Positive
96.97,61.86,Wednesday,Evening,31.65,3.0,Positive
95.42,95.81,Wednesday,Evening,33.81,1.0,Neutral
84.93,69.67,Monday,Night,91.32,3.0,Positive
91.95,32.15,Wednesday,Afternoon,86.66,2.0,Negative
47.63,95.88,Thursday,Evening,72.76,1.0,Positive
33.25,93.75,Saturday,Evening,1.83,0.0,Positive
107.38,58.12,Friday,Evening,,0.0,Negative
88.64,86.74,Sunday,Morning,87.14,1.0,Negative
25.06,32.62,Saturday,Night,41.4,3.0,Neutral
63.7,95.09,Tuesday,Evening,57.78,2.0,Negative
26.64,49.59,Friday,Night,3.76,3.0,Positive
114.59,97.7,Sunday,Night,34.53,0.0,Neutral
12.69,83.03,Tuesday,Evening,4.05,2.0,Positive
56.74,68.99,Monday,Afternoon,,2.0,Neutral
108.41,94.61,Friday,Night,49.83,0.0,Negative
8.35,60.48,Friday,Afternoon,77.69,1.0,Positive
70.62,22.25,Sunday,Afternoon,,0.0,Positive
66.37,60.3,Monday,Afternoon,61.7,3.0,Neutral
103.02,70.02,Friday,Night,60.92,2.0,Positive
85.45,30.19,Thursday,Night,14.38,1.0,Positive
104.89,41.58,Monday,Morning,13.55,0.0,Positive
117.12,83.24,Monday,Evening,48.73,1.0,Negative
117.65,38.33,Thursday,Afternoon,86.0,1.0,Neutral
80.59,30.73,Monday,Afternoon,54.22,2.0,Negative
90.89,65.44,Saturday,Night,45.87,1.0,Positive
,27.06,Friday,Evening,34.99,3.0,Negative
13.98,66.65,Monday,Morning,62.27,2.0,Positive
106.06,72.48,Tuesday,Afternoon,24.39,3.0,Neutral
102.23,48.22,Tuesday,Evening,99.44,1.0,Neutral
21.49,71.16,Friday,Night,71.77,2.0,Neutral
89.3,88.79,Saturday,Evening,46.29,0.0,Negative
71.14,81.29,Wednesday,Night,73.62,1.0,Negative
,33.26,Friday,Afternoon,27.08,1.0,Neutral
52.85,53.75,Sunday,Night,53.64,2.0,Positive
92.8,64.59,Monday,Afternoon,53.86,1.0,Negative
47.24,93.7,Saturday,Evening,26.35,1.0,Positive
37.18,92.83,Saturday,Night,92.03,1.0,Neutral
118.19,97.84,Wednesday,Night,29.48,3.0,Neutral
75.8,27.2,Tuesday,Evening,6.08,3.0,Negative
13.99,86.11,Saturday,Morning,13.99,3.0,Positive
99.53,54.83,Tuesday,Night,81.49,0.0,Positive
61.19,58.22,Wednesday,Night,,0.0,Neutral
5.41,50.14,Thursday,Afternoon,43.86,1.0,Negative
96.31,82.48,Friday,Morning,7.83,1.0,Positive
,49.66,Sunday,Evening,5.01,0.0,Neutral
56.12,47.47,Sunday,Night,59.95,0.0,Positive
,80.47,Friday,Evening,,1.0,Neutral
119.48,45.09,Tuesday,Morning,27.92,1.0,Negative
37.28,26.82,Tuesday,Evening,,3.0,Positive
118.46,47.18,Monday,Morning,30.75,0.0,Neutral
,79.83,Wednesday,Morning,75.83,2.0,Positive
69.43,88.11,Friday,Afternoon,32.59,1.0,Neutral
96.85,61.85,Monday,Night,62.85,3.0,Positive
87.53,77.05,Tuesday,Evening,37.34,0.0,Negative
64.54,45.58,Saturday,Afternoon,22.54,0.0,Negative
59.99,39.19,Wednesday,Evening,0.04,1.0,Negative
69.0,89.05,Monday,Night,96.0,1.0,Positive
82.19,24.42,Tuesday,Afternoon,6.18,1.0,Neutral
24.06,96.97,Monday,Afternoon,73.69,1.0,Positive
116.43,29.7,Wednesday,Afternoon,,3.0,Neutral
111.29,76.06,Friday,Afternoon,89.3,1.0,Positive
35.45,37.93,Wednesday,Afternoon,30.83,0.0,Negative
63.67,89.87,Sunday,Afternoon,,3.0,Positive
105.04,94.78,Friday,Night,5.1,1.0,Positive
112.41,29.67,Saturday,Evening,7.33,1.0,Positive
115.48,23.78,Sunday,Morning,8.25,2.0,Neutral
,31.94,Sunday,Evening,11.2,1.0,Negative
119.44,53.83,Tuesday,Morning,12.89,1.0,Positive
70.99,21.9,Monday,Night,,3.0,Neutral
49.92,31.04,Thursday,Morning,54.96,3.0,Neutral
43.05,79.3,Sunday,Afternoon,79.73,0.0,Negative
76.73,55.08,Tuesday,Morning,,0.0,Neutral
54.61,71.31,Friday,Morning,76.81,3.0,Neutral
30.08,36.26,Friday,Evening,13.77,3.0,Negative
71.27,46.23,Sunday,Afternoon,46.6,2.0,Positive
84.57,69.41,Thursday,Morning,,1.0,Positive
39.08,29.2,Tuesday,Evening,65.91,1.0,Neutral
73.38,66.38,Thursday,Evening,69.17,0.0,Negative
38.0,34.96,Sunday,Night,72.0,1.0,Positive
83.73,99.52,Sunday,Afternoon,71.33,1.0,Positive
106.89,27.87,Tuesday,Evening,59.9,1.0,Neutral
58.32,58.31,Wednesday,Evening,91.44,3.0,Negative
,38.58,Tuesday,Night,81.67,0.0,Positive
,57.69,Saturday,Afternoon,86.35,3.0,Negative
78.64,42.12,Tuesday,Night,96.41,2.0,Neutral
,68.11,Wednesday,Evening,32.26,1.0,Neutral
59.91,77.52,Saturday,Night,63.76,3.0,Neutral
,35.87,Friday,Morning,65.22,0.0,Negative
33.3,44.05,Sunday,Afternoon,62.99,0.0,Positive
86.19,33.77,Saturday,Afternoon,73.71,3.0,Neutral
117.06,99.24,Wednesday,Evening,7.3,1.0,Neutral
90.24,80.72,Tuesday,Morning,,2.0,Negative
,56.05,Wednesday,Morning,,0.0,Neutral
68.1,59.81,Tuesday,Morning,78.89,1.0,Positive
30.67,96.71,Tuesday,Morning,30.72,1.0,Positive
30.82,94.64,Friday,Morning,7.46,0.0,Positive
62.85,28.58,Sunday,Afternoon,94.66,1.0,Neutral
6.54,39.24,Sunday,Morning,43.75,0.0,Negative
85.33,40.21,Sunday,Evening,16.38,0.0,Positive
119.65,51.9,Sunday,Afternoon,79.81,3.0,Positive
49.85,53.84,Wednesday,Night,79.67,3.0,Neutral
114.26,68.94,Wednesday,Evening,32.45,1.0,Positive
27.36,35.42,Sunday,Afternoon,99.83,1.0,Neutral
,32.83,Sunday,Afternoon,,0.0,Positive
52.18,22.79,Sunday,Morning,,1.0,Neutral
78.04,27.72,Wednesday,Evening,,1.0,Negative
51.91,64.87,Saturday,Evening,45.55,1.0,Neutral
73.38,31.93,Saturday,Night,72.06,0.0,Neutral
62.14,82.39,Wednesday,Afternoon,68.36,1.0,Negative
61.03,26.71,Sunday,Night,,0.0,Positive
14.65,25.62,Wednesday,Night,62.99,2.0,Neutral
23.08,48.98,Tuesday,Night,50.18,0.0,Positive
26.06,29.94,Thursday,Night,40.97,2.0,Neutral
111.78,41.48,Monday,Morning,80.74,1.0,Positive
63.9,52.07,Sunday,Morning,25.28,1.0,Negative
77.66,64.76,Saturday,Evening,38.29,3.0,Positive
61.09,79.58,Saturday,Morning,87.08,0.0,Positive
44.09,94.1,Tuesday,Afternoon,,1.0,Positive
49.51,54.52,Wednesday,Morning,,0.0,Negative
18.18,20.74,Sunday,Evening,,0.0,Negative
33.02,56.41,Friday,Evening,76.22,3.0,Neutral
,51.84,Monday,Night,42.6,0.0,Negative
100.88,58.12,Sunday,Morning,42.06,2.0,Positive
94.45,20.43,Monday,Evening,58.71,0.0,Positive
107.15,22.61,Thursday,Evening,70.78,3.0,Negative
58.9,51.96,Thursday,Evening,72.67,0.0,Neutral
116.57,39.45,Sunday,Morning,84.39,0.0,Negative
83.27,21.32,Wednesday,Evening,21.25,0.0,Positive
43.4,91.75,Tuesday,Night,71.78,3.0,Positive
48.44,69.17,Thursday,Morning,88.78,1.0,Neutral
48.48,26.23,Monday,Morning,,0.0,Negative
39.67,37.44,Wednesday,Afternoon,25.47,2.0,Neutral
5.13,30.06,Thursday,Morning,55.93,1.0,Neutral
82.73,95.42,Friday,Afternoon,,1.0,Positive
68.0,38.83,Sunday,Morning,,2.0,Positive
92.32,92.02,Wednesday,Night,28.7,1.0,Neutral
88.68,53.21,Wednesday,Afternoon,47.41,2.0,Neutral
54.04,56.13,Thursday,Evening,,0.0,Positive
32.44,69.26,Thursday,Afternoon,74.44,0.0,Positive
97.11,33.78,Friday,Night,,3.0,Negative
98.18,83.53,Wednesday,Morning,56.23,2.0,Neutral
,32.0,Monday,Night,15.81,1.0,Neutral
50.1,89.44,Sunday,Evening,56.1,0.0,Negative
18.19,49.79,Thursday,Night,64.29,1.0,Positive
18.26,23.46,Friday,Night,27.11,2.0,Positive
99.35,97.12,Friday,Morning,88.51,1.0,Positive
91.8,98.24,Monday,Morning,43.91,1.0,Positive
38.01,57.7,Wednesday,Afternoon,56.79,0.0,Negative
88.3,45.1,Wednesday,Morning,15.41,1.0,Positive
96.81,46.06,Tuesday,Afternoon,62.07,1.0,Negative
90.93,40.0,Sunday,Morning,,3.0,Positive
85.88,75.79,Friday,Morning,73.77,0.0,Negative
52.17,56.52,Monday,Evening,14.16,0.0,Positive
62.59,62.73,Sunday,Afternoon,68.56,1.0,Positive
25.03,58.68,Tuesday,Evening,12.3,0.0,Neutral
44.81,54.46,Sunday,Evening,13.75,2.0,Negative
44.48,70.69,Thursday,Morning,,1.0,Positive
,79.37,Thursday,Evening,65.49,0.0,Negative
107.4,29.03,Monday,Evening,89.4,3.0,Neutral
47.02,55.82,Monday,Night,3.59,1.0,Negative
111.39,59.61,Tuesday,Morning,99.1,1.0,Negative
33.55,66.74,Saturday,Night,,0.0,Neutral
,92.83,Tuesday,Evening,77.71,0.0,Neutral
110.21,95.85,Wednesday,Night,1.49,1.0,Negative
44.77,55.35,Monday,Night,39.04,2.0,Neutral
68.26,74.04,Thursday,Evening,80.11,2.0,Negative
,68.27,Thursday,Night,0.26,1.0,Neutral
63.93,32.38,Saturday,Morning,92.19,0.0,Neutral
36.43,51.61,Saturday,Evening,2.27,2.0,Negative
78.42,30.18,Monday,Morning,9.96,3.0,Neutral
14.4,66.96,Monday,Morning,99.76,3.0,Negative
51.54,34.94,Saturday,Afternoon,,1.0,Negative
44.98,69.53,Friday,Afternoon,79.69,1.0,Positive
54.21,72.13,Thursday,Night,,2.0,Neutral
,46.77,Tuesday,Morning,83.21,1.0,Negative
81.67,76.64,Thursday,Afternoon,57.64,2.0,Neutral
97.85,93.62,Friday,Morning,87.38,2.0,Negative
93.56,56.03,Tuesday,Evening,0.56,2.0,Neutral
58.71,41.89,Monday,Morning,,3.0,Positive
83.75,85.13,Friday,Morning,58.65,1.0,Positive
54.58,77.82,Thursday,Night,27.32,3.0,Positive
72.99,55.79,Friday,Night,,1.0,Neutral
,60.05,Friday,Night,,1.0,Positive
26.63,54.67,Monday,Afternoon,92.79,3.0,Positive
75.54,96.19,Saturday,Morning,,3.0,Neutral
118.15,90.93,Friday,Night,,1.0,Neutral
103.77,68.92,Sunday,Night,,1.0,Positive
,30.02,Friday,Morning,,0.0,Negative
42.51,37.4,Sunday,Evening,,1.0,Positive
106.52,22.36,Friday,Evening,,2.0,Neutral
17.46,64.36,Tuesday,Morning,60.02,3.0,Neutral
65.5,88.02,Thursday,Afternoon,29.64,2.0,Positive
20.23,66.82,Thursday,Evening,57.25,3.0,Neutral
118.64,37.73,Friday,Evening,6.32,0.0,Positive
104.19,98.9,Saturday,Evening,25.77,3.0,Neutral
74.0,70.02,Wednesday,Afternoon,60.89,0.0,Positive
78.55,72.42,Saturday,Evening,6.28,1.0,Negative
39.44,95.05,Tuesday,Night,43.15,2.0,Neutral
85.98,50.47,Saturday,Evening,76.78,0.0,Neutral
45.3,45.12,Saturday,Afternoon,38.51,3.0,Positive
103.98,91.32,Tuesday,Night,9.14,0.0,Negative
24.25,48.37,Saturday,Morning,40.75,3.0,Positive
37.94,26.09,Sunday,Night,,0.0,Negative
60.46,47.63,Saturday,Afternoon,45.62,2.0,Neutral
28.1,87.98,Wednesday,Evening,12.28,3.0,Negative
8.6,46.77,Thursday,Night,99.69,1.0,Negative
,28.31,Monday,Night,76.27,3.0,Negative
71.4,72.07,Friday,Afternoon,28.74,0.0,Positive
109.95,66.52,Sunday,Morning,56.16,0.0,Positive
26.84,57.93,Sunday,Night,46.16,3.0,Neutral
119.75,69.79,Wednesday,Morning,46.55,2.0,Negative
83.81,80.03,Thursday,Afternoon,70.96,0.0,Negative
84.67,79.16,Friday,Morning,43.43,1.0,Neutral
109.38,23.14,Thursday,Night,61.58,0.0,Positive
41.73,34.67,Thursday,Afternoon,76.35,3.0,Negative
34.41,62.32,Tuesday,Afternoon,85.25,3.0,Neutral
,27.0,Tuesday,Evening,,2.0,Positive
44.09,21.78,Monday,Evening,23.65,1.0,Neutral
112.32,96.22,Friday,Afternoon,,3.0,Negative
19.8,51.68,Saturday,Afternoon,64.57,3.0,Negative
32.89,87.45,Tuesday,Morning,49.03,0.0,Neutral
62.18,61.36,Saturday,Afternoon,54.74,1.0,Negative
23.58,26.45,Saturday,Evening,44.31,3.0,Positive
19.88,75.45,Thursday,Night,84.59,0.0,Positive
107.34,27.52,Friday,Evening,17.61,1.0,Negative
55.8,99.54,Sunday,Evening,85.34,2.0,Negative
93.41,94.23,Sunday,Morning,64.24,1.0,Neutral
56.95,83.7,Tuesday,Morning,77.72,3.0,Negative
83.57,65.6,Wednesday,Morning,41.49,2.0,Positive
47.02,38.98,Sunday,Evening,77.02,1.0,Negative
117.84,73.36,Thursday,Night,,3.0,Negative
35.79,25.97,Tuesday,Afternoon,94.72,2.0,Positive
,42.05,Thursday,Morning,58.48,3.0,Neutral
61.81,80.43,Friday,Morning,71.08,1.0,Positive
68.82,58.84,Sunday,Morning,,0.0,Negative
45.56,62.08,Sunday,Night,,0.0,Neutral
85.04,30.0,Monday,Afternoon,27.17,1.0,Negative
68.22,36.52,Wednesday,Morning,22.23,2.0,Positive
110.97,87.53,Wednesday,Night,20.37,1.0,Negative
29.2,67.71,Sunday,Night,1.09,1.0,Negative
102.09,55.46,Wednesday,Evening,56.86,1.0,Neutral
61.19,48.96,Saturday,Afternoon,92.16,1.0,Positive
85.09,54.63,Tuesday,Evening,23.81,2.0,Neutral
23.45,20.68,Wednesday,Night,0.57,0.0,Neutral
46.09,64.09,Tuesday,Afternoon,33.1,2.0,Positive
80.17,36.5,Thursday,Night,9.78,2.0,Negative
82.81,81.8,Tuesday,Night,49.56,0.0,Neutral
88.7,33.9,Thursday,Afternoon,35.18,0.0,Neutral
13.12,95.26,Friday,Night,36.35,0.0,Positive
36.77,34.36,Tuesday,Evening,58.25,1.0,Positive
40.66,25.78,Friday,Afternoon,14.94,1.0,Neutral
90.29,24.7,Tuesday,Evening,12.65,1.0,Neutral
76.22,95.22,Tuesday,Morning,95.03,0.0,Positive
102.34,26.23,Monday,Night,24.29,1.0,Positive
41.32,75.04,Monday,Afternoon,12.31,2.0,Negative
80.33,61.91,Saturday,Afternoon,91.5,3.0,Negative
